Product_ID,Category,Subcategory,Region,Warehouse_ID,Season,Demand,Lead_Time,Supplier_Reliability,Promotion,Stock_Level,Price,Transport_Cost,Demand_Prev_1_Month,Demand_Prev_2_Month,Demand_Prev_3_Month
1,Beverages,Water,North,1,Fall,98,2,0.801042503695385,0,128,4.607211077758208,4.8,105,115,78
2,Raw_Materials,Spices,South,4,Spring,175,4,0.9867233038460734,0,374,2.9862919881894014,7.2,160,171,152
3,Electronics,Gaming,West,4,Fall,468,12,0.902303027216645,1,803,293.0399558281083,26.400000000000002,402,522,415
4,Beverages,Tea,South,2,Summer,133,5,0.9401463760726531,0,412,7.413642668001798,9.0,113,132,121
5,Beverages,Water,West,3,Fall,306,2,0.9711249132351755,1,627,4.409289592940802,4.4,322,302,352
6,Raw_Materials,Vegetables,West,4,Spring,61,8,0.893420738462854,0,406,5.314879159856038,17.6,56,52,59
7,Electronics,Audio,East,5,Spring,651,13,0.9669948146729781,1,467,180.02733573046328,26.0,592,742,697
8,Electronics,Gaming,East,4,Summer,117,11,0.8355239638910404,0,327,166.871206357109,22.0,121,97,94
9,Beverages,Water,East,1,Summer,391,3,0.8318335068959629,0,391,6.8023170893065945,6.0,316,361,440
10,Grocery,Snacks,South,1,Summer,368,6,0.9314942737712307,1,151,8.526768510525066,10.8,330,393,329
11,Beverages,Coffee,East,1,Winter,308,1,0.9740286011103474,1,466,6.893113183177426,2.0,288,308,284
12,Beverages,Coffee,East,4,Winter,318,5,0.9784852355072079,0,510,9.16811706001275,10.0,344,366,260
13,Beverages,Juice,North,2,Spring,515,5,0.9287480916754494,0,916,9.939384713307447,12.0,524,420,496
14,Beverages,Water,West,5,Winter,420,3,0.9050978460418635,0,332,7.38358186013212,6.6000000000000005,479,445,479
15,Raw_Materials,Spices,West,4,Winter,259,6,0.8662786175393032,0,277,7.4586560131282456,13.200000000000001,241,256,246
16,Electronics,Accessories,East,2,Fall,496,10,0.9960000831198663,1,812,260.35487108722714,20.0,455,427,577
17,Raw_Materials,Grains,West,2,Winter,167,4,0.8639391373332501,0,496,2.7127804848595938,8.8,135,183,191
18,Raw_Materials,Herbs,North,4,Fall,87,8,0.9488372214463187,0,887,7.496809872822767,19.2,102,83,71
19,Raw_Materials,Herbs,North,4,Summer,180,5,0.9063963599810002,0,688,1.031067500394661,12.0,180,182,165
20,Beverages,Juice,East,2,Fall,330,5,0.9217024685050693,0,169,3.9692963893919035,10.0,330,391,384
21,Grocery,Snacks,North,2,Fall,315,3,0.8786961101177253,0,752,9.9592290914672,7.199999999999999,368,313,255
22,Electronics,Audio,West,2,Summer,166,8,0.9929646250944495,1,23,167.53632485063977,17.6,152,187,183
23,Grocery,Dairy,South,4,Summer,355,5,0.9143364652198542,0,714,8.593773499611077,9.0,331,393,412
24,Raw_Materials,Spices,West,2,Spring,409,3,0.987557526091758,1,164,6.46166247350936,6.6000000000000005,434,435,453
25,Raw_Materials,Grains,South,1,Spring,319,3,0.8015182832347829,0,110,1.960277617146442,5.4,355,369,350
26,Grocery,Frozen,East,4,Spring,252,1,0.9145341166382243,0,581,14.749057139544421,2.0,272,226,286
27,Grocery,Canned,South,1,Spring,385,2,0.9434373779450543,0,52,7.124415182160387,3.6,429,434,410
28,Grocery,Snacks,North,3,Fall,512,4,0.9490160342324436,0,202,14.297805707278332,9.6,527,486,496
29,Raw_Materials,Herbs,West,4,Fall,279,9,0.9809953763563363,1,320,3.373368983726245,19.8,319,313,230
30,Raw_Materials,Grains,South,3,Spring,351,7,0.8008803218007573,0,630,5.013400016387267,12.6,358,350,391
31,Electronics,Laptops,West,2,Winter,66,14,0.8000660318518953,0,614,1175.4672069847043,30.800000000000004,58,75,76
32,Electronics,Gaming,East,2,Spring,234,7,0.8944526921590431,0,737,209.26184587855167,14.0,237,270,235
33,Raw_Materials,Spices,East,5,Winter,123,4,0.8058587410010741,0,474,1.8771854703813988,8.0,133,127,124
34,Grocery,Snacks,North,2,Summer,367,2,0.9949065107324749,1,172,6.608799459766789,4.8,389,368,352
35,Grocery,Canned,East,3,Fall,301,2,0.8444130349082785,0,360,1.9573357095040398,4.0,270,335,343
36,Electronics,Accessories,South,2,Fall,274,5,0.8945329458729689,1,243,187.46839675720378,9.0,223,248,220
37,Raw_Materials,Herbs,East,4,Winter,390,7,0.8122275260024447,0,937,7.720112739418421,14.0,351,314,409
38,Electronics,Audio,North,2,Spring,273,10,0.9044096832342517,0,412,32.85382424406801,24.0,325,262,317
39,Electronics,Accessories,West,5,Fall,386,11,0.8759912250294817,0,360,204.69640686043863,24.200000000000003,337,387,324
40,Beverages,Water,West,2,Winter,171,5,0.8089320057754448,1,176,7.975881672738938,11.0,168,157,202
41,Beverages,Coffee,East,3,Summer,164,1,0.867024853339245,1,157,2.91797581759866,2.0,173,156,194
42,Beverages,Water,South,3,Summer,267,4,0.8782872040445712,0,37,3.4576686403169234,7.2,307,227,312
43,Grocery,Bakery,North,2,Fall,608,3,0.997984298254988,0,268,3.822135207360495,7.199999999999999,671,553,598
44,Raw_Materials,Vegetables,South,3,Spring,130,3,0.8415771743838751,0,937,2.730594775072306,5.4,151,116,123
45,Raw_Materials,Herbs,North,3,Winter,207,6,0.90895592307402,0,607,1.3256191939503064,14.399999999999999,215,190,224
46,Raw_Materials,Spices,East,5,Fall,147,6,0.9974631098397257,0,629,3.2776090346406677,12.0,168,135,136
47,Raw_Materials,Fruits,North,4,Summer,307,8,0.958403841588027,0,451,3.2669689648579614,19.2,277,314,253
48,Beverages,Soda,North,5,Spring,427,2,0.9986735001764178,0,959,8.265407109448681,4.8,415,384,495
49,Grocery,Frozen,East,1,Winter,191,1,0.9936596629320338,0,947,12.213416418410057,2.0,217,224,201
50,Grocery,Canned,South,5,Fall,311,5,0.8979079084188308,0,638,12.154127086331107,9.0,289,312,274
51,Beverages,Water,East,2,Winter,113,6,0.9392751699741132,1,885,6.103323218970373,12.0,129,96,91
52,Grocery,Snacks,North,4,Spring,559,1,0.8220886253882302,0,536,5.562329616128683,2.4,528,509,608
53,Beverages,Soda,East,2,Spring,227,2,0.8882297650093604,1,220,4.698680647603904,4.0,214,247,259
54,Raw_Materials,Fruits,North,1,Summer,373,8,0.9618037084533395,0,839,2.8830762857156134,19.2,344,300,358
55,Beverages,Tea,East,4,Spring,534,1,0.9010670641954287,0,552,6.237351144826492,2.0,544,627,444
56,Raw_Materials,Fruits,West,3,Fall,337,8,0.9405398065634464,0,454,7.534843409852496,17.6,286,329,357
57,Raw_Materials,Spices,West,5,Winter,59,7,0.9491502659968554,0,803,2.6337258804178565,15.400000000000002,48,59,54
58,Electronics,Audio,East,2,Spring,643,11,0.8506938282485788,0,462,148.47850894091633,22.0,745,768,551
59,Beverages,Coffee,South,1,Spring,401,2,0.9751398745885131,0,706,6.896052371254061,3.6,469,401,402
60,Electronics,Smartphones,North,3,Fall,214,6,0.8919644861818358,1,413,1060.2254206160246,14.399999999999999,177,252,212
61,Beverages,Coffee,West,5,Winter,236,6,0.8420370207243087,0,75,3.2800052857686834,13.200000000000001,240,275,237
62,Beverages,Tea,South,3,Winter,74,6,0.9730831763576888,1,414,3.522609558823515,10.8,75,87,83
63,Electronics,Laptops,North,5,Summer,602,9,0.8835637612212508,0,892,1827.7482983839043,21.599999999999998,571,677,598
64,Electronics,Accessories,West,4,Summer,451,9,0.9500624876759439,0,837,42.47227359602484,19.8,463,414,523
65,Beverages,Tea,West,3,Winter,466,5,0.9096066144443186,0,584,6.449028453704913,11.0,458,437,529
66,Grocery,Snacks,East,3,Fall,238,3,0.8763743504469002,1,444,13.04637582534382,6.0,237,225,252
67,Raw_Materials,Spices,North,3,Fall,259,4,0.9619752830077138,0,237,7.4130706276364995,9.6,285,308,213
68,Electronics,Smartphones,South,4,Summer,364,10,0.9168939863289226,1,485,311.41852880958186,18.0,367,343,417
69,Raw_Materials,Fruits,South,1,Spring,183,5,0.8781124204854064,0,477,3.272494831206382,9.0,170,154,212
70,Grocery,Dairy,South,5,Fall,150,2,0.8219195740670254,1,110,4.601707005694653,3.6,154,166,142
71,Grocery,Bakery,North,3,Spring,305,5,0.9790890627533416,0,432,8.952456242846125,12.0,322,288,308
72,Grocery,Bakery,South,4,Fall,193,2,0.8070939170683333,0,365,9.86007187539081,3.6,205,202,176
73,Electronics,Smartphones,South,1,Winter,458,11,0.9726374696736113,0,148,1199.797029844976,19.8,479,535,369
74,Grocery,Snacks,South,5,Summer,178,6,0.8719923049766312,0,640,8.17867495658496,10.8,189,183,176
75,Electronics,Laptops,East,4,Spring,357,5,0.9278677527002812,0,578,1327.2003181059044,10.0,329,376,304
76,Grocery,Dairy,East,5,Spring,266,6,0.984439944767137,0,140,6.800389109278987,12.0,260,281,232
77,Raw_Materials,Fruits,North,3,Winter,123,4,0.8303413231007797,0,558,1.6075792837893175,9.6,131,128,122
78,Raw_Materials,Grains,North,1,Fall,314,5,0.913390095127762,0,477,2.7749348021044886,12.0,345,271,360
79,Beverages,Tea,South,4,Spring,161,1,0.9528865724740384,0,489,3.2228642593992864,1.8,156,158,183
80,Raw_Materials,Spices,East,1,Fall,366,3,0.9515167665438115,0,120,6.509147685112565,6.0,346,293,434
81,Beverages,Water,West,3,Winter,315,3,0.9051263829199008,0,162,5.912347793970811,6.6000000000000005,342,330,312
82,Raw_Materials,Grains,West,1,Summer,107,6,0.9249478919812917,1,926,2.7214522266150656,13.200000000000001,95,110,109
83,Electronics,Audio,South,1,Spring,581,13,0.9515053988265689,1,771,156.94601281018092,23.400000000000002,467,538,655
84,Raw_Materials,Spices,South,2,Fall,143,4,0.9682055275514824,0,251,2.1414866232156164,7.2,141,144,154
85,Beverages,Water,East,1,Spring,356,2,0.9523626193751727,1,729,2.6661443551589614,4.0,309,355,310
86,Beverages,Soda,East,5,Fall,232,6,0.8708009886362486,0,889,8.739480135176972,12.0,220,208,222
87,Grocery,Bakery,East,4,Fall,419,2,0.9993452802115466,0,691,14.227351962525944,4.0,384,384,490
88,Electronics,Accessories,North,2,Fall,359,13,0.8869005387438609,0,778,42.404090191556605,31.2,398,396,308
89,Raw_Materials,Spices,North,4,Winter,163,9,0.8048929405517867,1,288,6.236620303898154,21.599999999999998,152,179,144
90,Grocery,Bakery,South,4,Summer,362,1,0.8725233903170925,0,372,7.346361509982062,1.8,382,357,347
91,Raw_Materials,Vegetables,North,3,Spring,49,7,0.8255565909147687,1,634,3.4172873098119,16.8,52,53,57
92,Raw_Materials,Fruits,East,3,Summer,165,2,0.824288523145675,1,417,5.670584821608657,4.0,162,161,139
93,Grocery,Snacks,East,2,Fall,179,4,0.8563070080213789,0,184,4.7275515946811195,8.0,149,204,191
94,Grocery,Dairy,North,3,Fall,453,5,0.8106750988354522,0,610,1.2881371679702234,12.0,489,422,386
95,Grocery,Frozen,West,3,Summer,406,3,0.9377024376819126,0,144,3.99603986948021,6.6000000000000005,337,475,409
96,Grocery,Canned,South,3,Summer,370,6,0.814797776840381,0,515,3.5889510739283645,10.8,310,376,375
97,Grocery,Bakery,West,4,Spring,230,2,0.8406579110871912,0,303,1.4766913417498753,4.4,202,233,187
98,Raw_Materials,Vegetables,South,2,Fall,335,3,0.818579942898824,0,504,2.90986562019741,5.4,305,357,395
99,Grocery,Snacks,West,4,Summer,328,5,0.8126335461806062,0,824,7.643259469197958,11.0,373,307,368
100,Electronics,Smartphones,North,5,Winter,714,5,0.8535503331079084,0,880,962.2458273455205,12.0,763,778,657
101,Beverages,Tea,South,4,Fall,94,1,0.914379793532074,0,428,3.9309519294333715,1.8,89,87,80
102,Grocery,Frozen,South,5,Fall,540,2,0.9929371112893683,0,215,3.723563719208408,3.6,643,517,506
103,Grocery,Canned,South,1,Spring,385,5,0.9751113308699213,0,327,4.228676769550475,9.0,345,411,445
104,Raw_Materials,Grains,East,1,Winter,321,3,0.975186785089065,0,82,7.183828093712859,6.0,335,305,273
105,Grocery,Bakery,East,5,Spring,155,1,0.8352134072075316,0,268,3.866085689843163,2.0,176,136,145
106,Grocery,Dairy,West,5,Winter,553,6,0.852981438699564,1,367,13.309369345231143,13.200000000000001,619,635,551
107,Grocery,Snacks,North,4,Spring,505,3,0.8152786633590612,0,157,7.259385936829136,7.199999999999999,422,590,410
108,Raw_Materials,Herbs,East,5,Winter,274,2,0.955693667983037,0,234,7.508003242613948,4.0,295,287,248
109,Grocery,Dairy,South,2,Winter,119,6,0.8139632602971124,1,114,6.713289908265781,10.8,107,133,123
110,Beverages,Soda,East,1,Winter,173,3,0.9113391341641707,0,565,2.599146404252356,6.0,163,206,160
111,Raw_Materials,Fruits,North,1,Summer,52,8,0.8495751144647902,1,937,4.617724469085032,19.2,51,54,59
112,Beverages,Juice,East,5,Fall,393,4,0.848689126805749,0,365,6.289359425641609,8.0,438,457,461
113,Raw_Materials,Herbs,South,3,Winter,199,6,0.998145011049521,1,547,5.266169774549523,10.8,172,187,194
114,Grocery,Bakery,West,3,Summer,145,6,0.9513559613957074,1,825,6.760954058573381,13.200000000000001,122,156,146
115,Beverages,Juice,South,5,Summer,393,4,0.96738787165821,0,270,1.4374120671504567,7.2,338,323,413
116,Raw_Materials,Fruits,North,2,Spring,471,2,0.9143965370688025,0,580,5.20039942212134,4.8,417,525,501
117,Electronics,Gaming,West,3,Fall,392,11,0.9742028574787498,1,582,281.2484431947521,24.200000000000003,322,443,323
118,Grocery,Dairy,East,5,Fall,74,5,0.9290981078332706,1,826,14.405820799080225,10.0,86,71,60
119,Raw_Materials,Vegetables,East,2,Spring,399,7,0.989234740959269,1,935,4.97664025895761,14.0,370,421,457
120,Electronics,Accessories,East,2,Fall,232,12,0.8562677172091274,0,922,25.568365027240908,24.0,202,265,206
121,Raw_Materials,Spices,West,4,Spring,145,2,0.919063909156579,1,79,1.2952886063660922,4.4,152,167,149
122,Electronics,Accessories,South,2,Summer,136,9,0.9380262695873784,0,963,253.51734721544398,16.2,151,114,142
123,Grocery,Canned,West,3,Summer,53,5,0.8785874610055614,0,456,12.616422127146791,11.0,58,59,45
124,Beverages,Water,West,3,Winter,270,1,0.9759415964808107,0,966,9.514140447415258,2.2,293,245,298
125,Electronics,Laptops,North,5,Spring,108,5,0.9959606326208309,0,456,1345.6616343002197,12.0,88,117,123
126,Raw_Materials,Herbs,West,5,Summer,371,8,0.8987538982745323,0,792,6.978622208513293,17.6,412,345,339
127,Grocery,Canned,East,2,Summer,624,6,0.8781281309608678,0,266,12.548416959546282,12.0,624,513,718
128,Electronics,Gaming,South,1,Spring,371,9,0.8943875857112917,0,918,185.03782573798804,16.2,393,327,308
129,Raw_Materials,Vegetables,South,4,Summer,328,7,0.9705473491463863,0,953,6.377281650252902,12.6,387,316,367
130,Raw_Materials,Spices,South,1,Fall,266,8,0.9290936851036335,1,905,1.4428290838435358,14.4,299,291,280
131,Raw_Materials,Grains,East,2,Summer,318,6,0.808954474503619,0,939,5.294020676600902,12.0,359,267,328
132,Electronics,Smartphones,East,2,Spring,192,13,0.9084339820891429,0,646,1158.1058607034747,26.0,167,216,171
133,Electronics,Smartphones,East,1,Fall,606,5,0.803460024548194,0,935,445.761748595467,10.0,600,726,572
134,Electronics,Accessories,East,4,Fall,192,12,0.9557070742006811,0,540,228.3319509040003,24.0,226,214,223
135,Beverages,Soda,East,1,Summer,500,2,0.8656624547084928,0,128,3.8870721760904616,4.0,516,494,493
136,Electronics,Audio,West,5,Winter,305,11,0.8944014964234659,0,841,248.78909864099242,24.200000000000003,256,313,316
137,Electronics,Gaming,East,3,Fall,416,10,0.9597356211815264,0,75,215.2190614375869,20.0,454,333,488
138,Electronics,Smartphones,East,5,Spring,274,14,0.8092897634571523,1,254,1133.556831845961,28.0,223,242,270
139,Beverages,Coffee,East,3,Winter,102,2,0.8317083071183221,0,66,7.4074187772450575,4.0,111,118,97
140,Electronics,Laptops,East,2,Winter,389,7,0.879592075289023,0,53,1115.4658924442924,14.0,448,314,450
141,Raw_Materials,Spices,South,4,Fall,432,5,0.8459850327091122,0,533,0.5816940086774434,9.0,419,501,503
142,Electronics,Gaming,East,1,Summer,380,11,0.8675802851550126,0,899,242.01673109583191,22.0,366,321,357
143,Raw_Materials,Spices,West,4,Winter,131,9,0.999634947578493,0,433,3.5634872499155414,19.8,120,111,135
144,Raw_Materials,Grains,West,1,Summer,298,6,0.9650828875147621,0,757,5.529755711261448,13.200000000000001,342,259,353
145,Raw_Materials,Herbs,West,5,Fall,315,4,0.9767803629920218,0,545,1.2879986093631408,8.8,321,352,258
146,Beverages,Water,North,5,Spring,245,2,0.9874109267131551,0,404,9.018717723078895,4.8,252,242,199
147,Beverages,Juice,South,1,Winter,299,3,0.8681871760628391,0,459,4.920920176658546,5.4,318,256,300
148,Beverages,Coffee,East,4,Spring,132,1,0.8594153915592946,0,266,9.277225604278136,2.0,121,141,120
149,Electronics,Gaming,North,1,Summer,209,11,0.846812498514415,1,963,217.96488146245747,26.4,203,245,215
150,Raw_Materials,Fruits,East,2,Summer,320,9,0.9660233822616245,0,805,1.4109669657353991,18.0,350,329,348
151,Beverages,Juice,North,5,Spring,107,1,0.935910372457037,0,845,6.212769520669293,2.4,127,89,88
152,Beverages,Water,North,2,Fall,141,6,0.8472343964965755,0,370,9.189410031476084,14.399999999999999,114,115,162
153,Electronics,Audio,West,5,Fall,262,12,0.875398765842091,1,772,243.99175676736078,26.400000000000002,214,293,238
154,Beverages,Water,West,5,Winter,131,5,0.9013423527865597,1,615,4.76182366818625,11.0,127,137,124
155,Electronics,Smartphones,North,3,Winter,379,6,0.9056280114547508,0,389,1159.5579575285165,14.399999999999999,403,443,354
156,Grocery,Frozen,West,2,Fall,495,5,0.977745545710343,1,452,4.760066531221375,11.0,472,504,562
157,Beverages,Water,North,2,Fall,332,2,0.8761132265894434,0,976,4.3759693298648425,4.8,398,273,288
158,Grocery,Canned,South,3,Spring,503,1,0.9817048061001025,1,901,11.495998426015177,1.8,441,483,408
159,Electronics,Audio,West,4,Summer,118,8,0.888273512063958,0,543,85.2132760203445,17.6,94,125,140
